id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,urls,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1224595545555111936,ey_india,2020-02-04,12:58:24,#DealAlert| Shareholders of Mohan Fibre Products Limited have entered into an agreement with  Brødrene Hartmann A/S for the strategic sale of the company. EY acted as the exclusive financial advisors to the sellers. #EYTransactions  https://t.co/AcWM2Zqe21,250391704,530,[],"['DealAlert', 'EYTransactions']",0,2,1,0,[],dealalert shareholders of mohan fibre products limited have entered into an agreement with brdrene hartmann as for the strategic sale of the company ey acted as the exclusive financial advisors to the sellers eytransactions,-0.03571428571428571,Neutral,0
1224561322777509889,ey_india,2020-02-04,10:42:25,Meet the eight jury members who have selected the finalists for the #EOYIndia2019 Awards program. Learn more about the program and the Jury at:  https://t.co/NCgGwN7Yol #BuildersOfaBetterIndia @udaykotak @deepkalra  @KotakBankLtd @makemytrip @juliusbaer @GopalSri @TVSCapitalFunds  https://t.co/YVXEeXXIAe,250391704,530,"['udaykotak', 'deepkalra', 'KotakBankLtd', 'makemytrip', 'juliusbaer', 'GopalSri', 'TVSCapitalFunds']","['EOYIndia2019', 'BuildersOfaBetterIndia']",0,9,4,0,['http://spr.ly/60131gFuF'],meet the eight jury members who have selected the finalists for the eoyindia2019 awards program learn more about the program and the jury at buildersofabetterindia udaykotak deepkalra kotakbankltd makemytrip juliusbaer gopalsri tvscapitalfunds,0.5,Positive,1
1224351188168126469,ey_india,2020-02-03,20:47:25,"#EYonBudget2020 | Assuming that the government does achieve its budgeted #disinvestment target, it is important to see how the proceeds are put to use. Read as @EY_India'  Shalini Mathur analyzes the @FinMinIndia' disinvestment agenda  https://t.co/OeFMvTXf2S @moneycontrolcom  https://t.co/HVaXUxzMpW",250391704,530,"['EY_India', 'FinMinIndia', 'moneycontrolcom']","['EYonBudget2020', 'disinvestment']",0,2,1,0,['http://spr.ly/60141gohu'],eyonbudget2020 assuming that the government does achieve its budgeted disinvestment target it is important to see how the proceeds are put to use read as eyindia shalini mathur analyzes the finminindia disinvestment agenda moneycontrolcom,0.4,Positive,1
1224327297815269378,ey_india,2020-02-03,19:12:29,"#News| Bharat Bakhshi, Partner, Investment Banking Advisory, EY India shares views on EY's role in successfully advising Centrum Housing Finance Limited to sign agreements to raise INR190cr equity capital from Morgan Stanley Private Equity Asia. Read more  https://t.co/gBgMtL97tn  https://t.co/r08KETlDlC",250391704,530,[],['News'],0,1,1,0,['http://spr.ly/60151gWt3'],news bharat bakhshi partner investment banking advisory ey india shares views on eys role in successfully advising centrum housing finance limited to sign agreements to raise inr190cr equity capital from morgan stanley private equity asia read more,0.29464285714285715,Positive,1
1224293960618795008,ey_india,2020-02-03,17:00:01,"#HeroesAtEY | Meet Somya Mittal, one of our volunteers under the #EYRipples program, who is working with and helping #entrepreneurs in rural India by applying her skills, know-how and networks for their businesses. #SociallyResponsible #Entrepreneurial #MondayMotivation  https://t.co/LZPjqFY1EW",250391704,530,[],"['HeroesAtEY', 'EYRipples', 'entrepreneurs', 'SociallyResponsible', 'Entrepreneurial', 'MondayMotivation']",0,3,1,0,[],heroesatey meet somya mittal one of our volunteers under the eyripples program who is working with and helping entrepreneurs in rural india by applying her skills knowhow and networks for their businesses sociallyresponsible entrepreneurial mondaymotivation,0.0,Neutral,0
1224270929406107649,ey_india,2020-02-03,15:28:30,"#EYonBudget2020 | Under the new #tax regime, while all tax-exemptions and deductions applicable to salaried individuals have been removed, exemption on employer's contribution to National Pension Scheme is still available: Shalini Jain, Partner, EY India  https://t.co/Pol2Xwa84d",250391704,530,[],"['EYonBudget2020', 'tax']",0,2,2,0,['http://spr.ly/60141glM4'],eyonbudget2020 under the new tax regime while all taxexemptions and deductions applicable to salaried individuals have been removed exemption on employers contribution to national pension scheme is still available shalini jain partner ey india,0.2681818181818182,Positive,1
1224268661734678528,ey_india,2020-02-03,15:19:29,"#EYonBudget2020 | A mixed bag for #healthcare and #pharma sector, says Hitesh Sharma, Partner, EY India. Read his viewpoint at  https://t.co/E2utpcNsfD @HealthwireMedia #Budget2020  https://t.co/lLtJtrSBkS",250391704,530,['HealthwireMedia'],"['EYonBudget2020', 'healthcare', 'pharma', 'Budget2020']",1,5,4,1,['http://spr.ly/60191glH5'],eyonbudget2020 a mixed bag for healthcare and pharma sector says hitesh sharma partner ey india read his viewpoint at healthwiremedia budget2020,0.0,Neutral,0
1224250421667082240,ey_india,2020-02-03,14:07:00,#EYonBudget2020 | Do not miss our Live #webcast on impact of key tax and policy announcements of #Budget2020 on #PrivateEquity and #VentureCapital industry at 3:30 p.m. (IST) today. Register now at:  https://t.co/XQXFSXx7fX  https://t.co/hYo6MEFPaJ,250391704,530,[],"['EYonBudget2020', 'webcast', 'Budget2020', 'PrivateEquity', 'VentureCapital']",0,1,2,0,['http://spr.ly/60111gYk3'],eyonbudget2020 do not miss our live webcast on impact of key tax and policy announcements of budget2020 on privateequity and venturecapital industry at 330 pm ist today register now at,0.06818181818181818,Neutral,0
1224217810584457217,ey_india,2020-02-03,11:57:25,#DealAlert| Centrum Housing Finance Limited (CHFL) to raise INR 190 crores equity capital from Morgan Stanley Private Equity Asia. EY acted as the exclusive financial advisor on the deal.  https://t.co/H2nvSq7jyE,250391704,530,[],['DealAlert'],0,2,1,0,[],dealalert centrum housing finance limited chfl to raise inr 190 crores equity capital from morgan stanley private equity asia ey acted as the exclusive financial advisor on the deal,-0.023809523809523808,Neutral,0
1224027417121083394,ey_india,2020-02-02,23:20:52,"#EYonBudget2020 | Finance Minister @nsitharaman acknowledged the changing landscape of business in India through recognition of upcoming deep-tech and a nod to the spirit of #entrepreneurship, and #startups are at the forefront of it: Ankur Pahwa #Budget2020 @FinMinIndia  https://t.co/T7WXegg8hR",250391704,530,"['nsitharaman', 'FinMinIndia']","['EYonBudget2020', 'entrepreneurship', 'startups', 'Budget2020']",0,3,3,0,[],eyonbudget2020 finance minister nsitharaman acknowledged the changing landscape of business in india through recognition of upcoming deeptech and a nod to the spirit of entrepreneurship and startups are at the forefront of it ankur pahwa budget2020 finminindia,0.0,Neutral,0
